"Genotype","Plot","Stand.count","Leaf.count","Date.of.emergence","PlantingDate","DAP","week"
"CML277",538,18,"12",2021-07-04,2021-05-20,45,"7"
"CML322",880,18,"10",2021-06-28,2021-05-20,39,"6"
"CML322",630,18,"13",2021-07-08,2021-05-20,49,"7"
"CML322",935,17,"10",2021-06-28,2021-05-20,39,"6"
"CML322",688,17,"12",2021-07-04,2021-05-20,45,"7"
"CML322",605,18,"11",2021-07-01,2021-05-20,42,"6"
"CML322",822,18,"11",2021-07-01,2021-05-20,42,"6"
"CML322",663,16,"11",2021-06-30,2021-05-20,41,"6"
"CML322",877,17,"10",2021-06-28,2021-05-20,39,"6"
"CML333",917,18,"12",2021-07-01,2021-05-20,42,"6"
"CML333",568,16,"13",2021-07-04,2021-05-20,45,"7"
"CML333",551,18,"12",2021-07-04,2021-05-20,45,"7"
"CML333",510,17,"13",2021-07-06,2021-05-20,47,"7"
"CML333",493,17,"12",2021-06-30,2021-05-20,41,"6"
"CML333",859,17,"13",2021-07-04,2021-05-20,45,"7"
"CML333",898,18,"12",2021-07-04,2021-05-20,45,"7"
"CML333",840,16,"13",2021-07-04,2021-05-20,45,"7"
"CML52",1115,17,"16",2021-07-12,2021-05-20,53,"8"
"CML52",593,18,"19",2021-07-21,2021-05-20,62,"9"
"CML52",651,15,"17",2021-07-19,2021-05-20,60,"9"
"CML52",700,18,"17",2021-07-19,2021-05-20,60,"9"
"CML52",1057,18,"14",2021-07-09,2021-05-20,50,"8"
"CML52",1164,18,"18",2021-07-17,2021-05-20,58,"9"
"CML52",642,18,"18",2021-07-19,2021-05-20,60,"9"
"CML52",1106,18,"14",2021-07-08,2021-05-20,49,"7"
"CML69",864,18,"11.5",2021-07-04,2021-05-20,45,"7"
"CML69",545,16,"13",2021-07-09,2021-05-20,50,"8"
"CML69",835,14,"8",2021-06-25,2021-05-20,36,"6"
"CML69",574,18,"13",2021-07-12,2021-05-20,53,"8"
"CML69",893,16,"13",2021-07-12,2021-05-20,53,"8"
